CO_MUNICIPIO_ESC,NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
3550308.0,2098466.959490588,2024.0,35521209.357395425,35.0,2.6728729257449713,1.0,1.0,3548633.2549407985,34.99666945434805,0.8266062179966841,0.8526050148920874,0.8526050148920874,0.8266062179966841,1420.5029963545835,1384.5074109222674,1396.5058062289706,1408.5032275273406,508.52884680359205,531.1400983521697,545.038321111207,552.970242731395,0.2766406972137858,1.0838926753515659,125.39660081097404,152.49590199292555,123.8560952463118,133.63713225778622,119.50202743507894,654.8877577430766
3550407.0,2259053.7419354836,2024.0,35502073.24423963,35.0,2.294930875576037,1.0,1.0,3538668.884792627,35.0,0.7096774193548387,0.7327188940092166,0.7327188940092166,0.7096774193548387,1420.5844155844156,1384.5283018867924,1396.5094339622642,1408.5844155844156,509.55389610389614,531.8276729559749,541.8037735849057,550.5402597402597,0.3456221198156682,1.0377358490566038,126.54088050314465,151.69811320754718,123.39622641509433,135.9748427672956,121.76100628930817,659.37106918239
3550506.0,2300640.2195121953,2024.0,35034265.0,35.0,2.0,1.0,1.0,3545834.4146341463,35.0,0.6585365853658537,0.6829268292682927,0.6829268292682927,0.6585365853658537,1420.3333333333333,1384.142857142857,1396.25,1408.3333333333333,477.22222222222223,507.62142857142857,525.7142857142857,495.8333333333333,0.5121951219512195,1.0,119.28571428571429,137.85714285714286,111.42857142857143,116.42857142857143,91.42857142857143,576.4285714285714
3550605.0,2157762.268072289,2024.0,35336482.44126506,35.0,2.4186746987951806,1.0,1.0,3537379.8057228914,34.90813253012048,0.8012048192771084,0.8343373493975904,0.8343373493975904,0.8012048192771084,1420.5263157894738,1384.5254545454545,1396.4872727272727,1408.5263157894738,513.4095864661655,531.3214545454546,539.3947272727272,548.1855263157895,0.2876506024096386,1.0454545454545454,127.96363636363637,153.12727272727273,126.14545454545454,136.25454545454545,120.18181818181819,663.6727272727272
3550704.0,2147337.351633987,2024.0,35169070.8130719,35.0,2.201307189542484,1.0,1.0,3546201.122875817,34.984313725490196,0.6718954248366014,0.7111111111111111,0.7111111111111111,0.6718954248366014,1420.470703125,1384.5,1396.5350553505534,1408.470703125,483.3732421875,495.560147601476,517.509778597786,505.469140625,0.33202614379084966,1.2066420664206643,113.94833948339483,137.49077490774908,108.96678966789668,117.34317343173431,96.45756457564576,574.2066420664206
3550803.0,1887189.8292682928,2024.0,35107713.75609756,35.0,2.3902439024390243,1.1219512195121952,1.0,3515944.1951219514,34.65853658536585,0.4146341463414634,0.43902439024390244,0.43902439024390244,0.4146341463414634,1420.3529411764705,1384.6944444444443,1396.8055555555557,1408.3529411764705,482.135294117647,488.16388888888895,509.50277777777774,523.1735294117648,0.5609756097560976,1.0833333333333333,120.0,138.88888888888889,113.33333333333333,125.0,93.33333333333333,590.5555555555555
3550902.0,2101663.46,2024.0,38023741.94,35.0,2.24,1.36,1.0,3546065.3466666667,35.0,0.8066666666666666,0.82,0.82,0.8066666666666666,1420.5882352941176,1384.520325203252,1396.5040650406504,1408.5882352941176,469.3235294117647,495.92357723577237,511.6390243902439,489.9848739495798,0.37333333333333335,1.1951219512195121,115.1219512195122,141.78861788617886,113.82113821138212,122.60162601626017,101.30081300813008,594.6341463414634
3551009.0,2271206.9696969697,2024.0,35731954.32438017,35.0,2.3898071625344355,1.0,1.0,3550430.5599173554,35.0,0.7011019283746557,0.737603305785124,0.737603305785124,0.7011019283746557,1420.5039292730844,1384.447985004686,1396.4601686972821,1408.5039292730844,482.84548133595285,508.4815370196814,529.7488284910966,508.802652259332,0.3154269972451791,1.1283973758200563,117.88191190253046,141.23711340206185,112.2211808809747,122.24929709465792,101.57450796626054,595.1640112464855
3551108.0,2005908.2708333333,2024.0,35498922.25,35.0,2.0,1.0,1.0,3525509.3125,35.0,0.6041666666666666,0.625,0.625,0.6041666666666666,1420.103448275862,1384.5333333333333,1396.7333333333333,1408.103448275862,468.95862068965516,505.36333333333334,512.0833333333334,517.0724137931035,0.2916666666666667,1.1333333333333333,118.0,136.66666666666666,110.66666666666667,116.66666666666667,102.0,584.0
3551207.0,2404588.033333333,2024.0,35034319.0,35.0,2.0,1.0,1.0,3538808.0,35.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,1420.2105263157894,1384.9473684210527,1397.157894736842,1408.2105263157894,464.27894736842103,471.5894736842106,493.8157894736842,470.27368421052626,0.5666666666666667,1.0,109.47368421052632,131.57894736842104,103.15789473684211,113.6842105263158,78.94736842105263,536.8421052631579
3551306.0,1873138.96,2024.0,35027492.0,35.0,2.0,1.0,1.0,3557105.0,35.0,0.8,0.8,0.8,0.8,1420.55,1384.3,1396.2,1408.55,471.98,494.16499999999996,508.83500000000004,506.21000000000004,0.24,1.15,111.0,132.0,107.0,121.0,97.0,568.0
3551405.0,1106649.1311475409,2024.0,35059353.95081967,35.0,2.0,1.0,1.0,3544400.573770492,35.0,0.5901639344262295,0.639344262295082,0.639344262295082,0.5901639344262295,1420.638888888889,1384.6153846153845,1396.5128205128206,1408.638888888889,457.29999999999995,468.7871794871795,497.05897435897435,474.5888888888889,0.45901639344262296,1.0769230769230769,121.02564102564102,148.2051282051282,117.43589743589743,124.61538461538461,91.28205128205128,602.5641025641025
3551504.0,2264856.0743494425,2024.0,35686474.54275093,35.0,2.2453531598513012,1.0,1.0,3551282.8066914496,35.0,0.6728624535315985,0.7137546468401487,0.7137546468401487,0.6728624535315985,1420.5580110497237,1384.6145833333333,1396.6197916666667,1408.5580110497237,481.78066298342543,512.2276041666667,520.1552083333333,524.8801104972376,0.3828996282527881,1.234375,120.20833333333333,146.97916666666666,119.47916666666667,131.97916666666666,116.04166666666667,634.6875
3551603.0,2221275.562043796,2024.0,35484422.98540146,35.0,2.3795620437956204,1.0875912408759123,1.0,3505176.6277372264,35.0,0.5255474452554745,0.5401459854014599,0.5401459854014599,0.5255474452554745,1420.5833333333333,1384.5405405405406,1396.445945945946,1408.5833333333333,486.26944444444445,513.7378378378378,528.7797297297296,540.9555555555556,0.5109489051094891,1.027027027027027,120.54054054054055,144.86486486486487,115.94594594594595,128.64864864864865,110.27027027027027,620.2702702702703
3551702.0,2040475.2175257732,2024.0,35364337.32783505,35.0,2.3309278350515465,1.0,1.0,3548970.8360824743,35.0,0.811340206185567,0.8515463917525773,0.8515463917525773,0.811340206185567,1420.4714104193138,1384.5048780487805,1396.510975609756,1408.4714104193138,510.36353240152476,523.3313414634147,536.1243902439024,553.6390088945362,0.21030927835051547,1.1414634146341462,122.04878048780488,148.70731707317074,120.1951219512195,129.8048780487805,118.29268292682927,639.0487804878048
3551801.0,2345443.2435897435,2024.0,35035148.92307692,35.0,2.0,1.0,1.0,3542799.5897435895,35.0,0.41025641025641024,0.4230769230769231,0.4230769230769231,0.41025641025641024,1420.46875,1384.4545454545455,1396.4545454545455,1408.46875,461.303125,476.7787878787879,497.1484848484849,455.971875,0.6538461538461539,1.3636363636363635,105.45454545454545,125.45454545454545,99.39393939393939,109.0909090909091,65.45454545454545,504.8484848484849
3551900.0,2303697.1153846155,2024.0,35028137.0,35.0,2.0,1.0,1.0,3533304.0153846154,35.0,0.3769230769230769,0.4,0.4,0.3769230769230769,1420.4489795918366,1384.5384615384614,1396.5384615384614,1408.4489795918366,473.16326530612247,474.2980769230769,492.6,508.6775510204082,0.4153846153846154,1.2692307692307692,110.0,123.07692307692308,96.15384615384616,110.0,78.46153846153847,517.6923076923077
3552007.0,2504237.714285714,2024.0,35012555.0,35.0,2.0,1.0,1.0,3513918.4285714286,35.0,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,1420.4,1384.2,1396.2,1408.4,446.18999999999994,475.11,501.82,490.26000000000005,0.6190476190476191,1.0,114.0,132.0,98.0,116.0,80.0,540.0
3552106.0,2113545.248803828,2024.0,36855313.89952153,35.0,2.688995215311005,1.4066985645933014,1.0,3554671.971291866,35.03349282296651,0.7272727272727273,0.7751196172248804,0.7751196172248804,0.7272727272727273,1420.453947368421,1384.5125,1396.55,1408.453947368421,504.98026315789474,537.3625,547.609375,570.6940789473684,0.24401913875598086,1.0,130.625,156.0,127.5,139.875,128.0,682.0
3552205.0,2135409.1722359736,2024.0,35399588.17863036,35.0,2.651196369636964,1.0,1.0,3551708.0944719473,35.00206270627063,0.8091996699669967,0.8362211221122112,0.8362211221122112,0.8091996699669967,1420.5036999234499,1384.4925742574258,1396.4935643564356,1408.5036999234499,514.5314110742537,535.7019801980198,548.2400247524753,561.160806328145,0.23824257425742573,1.062871287128713,125.79702970297029,150.96039603960395,123.16336633663366,133.23267326732673,119.1930693069307,652.3465346534654
3552304.0,1011283.2,2024.0,35030673.0,35.0,2.0,1.0,1.0,3536725.52,35.0,0.84,0.94,0.94,0.84,1420.642857142857,1384.5111111111112,1396.4444444444443,1408.642857142857,468.65,474.8933333333334,506.47999999999996,492.92857142857144,0.18,1.2222222222222223,108.88888888888889,134.66666666666666,102.66666666666667,116.88888888888889,93.77777777777777,556.8888888888889
3552403.0,2135937.935758514,2024.0,35325592.576625384,35.0,2.3405572755417956,1.0,1.0,3551858.9001547988,35.01547987616099,0.6981424148606811,0.7484520123839009,0.7484520123839009,0.6981424148606811,1420.5288248337029,1384.4943005181347,1396.5056994818653,1408.5288248337029,484.24855875831486,509.3462176165803,530.7893264248705,520.4319290465631,0.3382352941176471,1.1523316062176165,115.68911917098445,140.66321243523316,112.02072538860104,121.20207253886011,103.04663212435233,592.6217616580311
3552502.0,2068426.6852267624,2024.0,35437919.22541536,35.0,2.3394701392007184,1.0121239335428829,1.0,3550430.147732375,35.00224517287831,0.7642568477772789,0.7907498877413561,0.7907498877413561,0.7642568477772789,1420.5124113475176,1384.4701534963046,1396.4718590108016,1408.5124113475176,495.67990543735226,517.7706651506537,536.5961341671405,536.3375295508274,0.37853614728334084,1.1057418988061398,122.76293348493462,150.24445707788516,120.73905628197839,130.9039226833428,116.12279704377487,640.7731665719159
3552551.0,2608059.736842105,2024.0,35030582.0,35.0,2.0,1.0,1.0,3537404.0,35.0,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,1420.7142857142858,1384.4285714285713,1396.2857142857142,1408.7142857142858,451.0285714285714,492.4428571428571,492.25714285714287,446.24285714285713,0.631578947368421,1.7142857142857142,82.85714285714286,114.28571428571429,74.28571428571429,94.28571428571429,65.71428571428571,431.42857142857144
3552601.0,1691011.8727272728,2024.0,35028162.0,35.0,2.0,1.0,1.0,3512509.381818182,35.0,0.7090909090909091,0.7272727272727273,0.7272727272727273,0.7090909090909091,1420.5128205128206,1384.75,1396.65,1408.5128205128206,471.6846153846154,501.0875,511.13,530.7461538461538,0.6727272727272727,1.0,112.0,133.0,105.0,112.5,90.5,553.0
3552700.0,2360940.485436893,2024.0,35039323.106796116,35.0,2.2524271844660193,1.0,1.0,3519579.0873786407,35.0,0.6796116504854369,0.6990291262135923,0.6990291262135923,0.6796116504854369,1420.5428571428572,1384.388888888889,1396.388888888889,1408.5428571428572,482.18,507.3527777777778,529.7722222222222,518.7985714285714,0.2524271844660194,1.0972222222222223,119.44444444444444,141.94444444444446,113.33333333333333,125.55555555555556,108.61111111111111,608.8888888888889
3552809.0,2089484.5910447761,2024.0,35613700.01393035,35.0,2.4407960199004974,1.0,1.0,3550914.693034826,35.00099502487562,0.8258706467661692,0.8626865671641791,0.8626865671641791,0.8258706467661692,1420.497584541063,1384.5040462427746,1396.5052023121386,1408.497584541063,488.90374396135263,513.6161849710983,534.0019075144509,520.8173309178744,0.32338308457711445,1.1092485549132949,121.17919075144509,147.8150289017341,118.72832369942196,128.65895953757226,111.38728323699422,627.7687861271677
3552908.0,2407917.3571428573,2024.0,35032657.0,35.0,2.0,1.0,1.0,3541406.0,35.0,0.5714285714285714,0.6785714285714286,0.6785714285714286,0.5714285714285714,1420.0625,1384.235294117647,1396.235294117647,1408.0625,458.675,466.7647058823529,510.1235294117647,471.76875,0.7857142857142857,1.0,114.11764705882354,141.1764705882353,108.23529411764706,114.11764705882354,97.6470588235294,575.2941176470588
3553005.0,2417824.7966101696,2024.0,35034241.0,35.0,2.0,1.0,1.0,3538246.9830508474,35.0,0.3898305084745763,0.3898305084745763,0.3898305084745763,0.3898305084745763,1420.0434782608695,1384.2173913043478,1396.5217391304348,1408.0434782608695,475.1478260869565,524.4565217391304,539.4130434782609,539.104347826087,0.4576271186440678,1.3043478260869565,113.91304347826087,133.91304347826087,109.56521739130434,114.78260869565217,91.30434782608695,563.4782608695652
